XrayEnergy (eV),Absorption
271.9501134,-0.010695187
274.2176871,-0.010695187
277.1201814,-8.88E-16
279.9319728,-8.88E-16
281.5646259,0.021390374
282.9538189,0.069453502
283.7072065,0.1465045
284.2453404,0.577083605
284.2857143,0.823529412
284.3764172,1.176470588
284.4671202,1.518716578
284.6485261,1.839572193
284.7065981,2.72544672
284.739229,2.267379679
284.739229,3.026737968
284.8603506,3.541280814
284.8603506,3.441567758
284.8603506,3.341854702
284.9206349,3.839572193
285.0113379,4.385026738
285.0141032,4.13955915
285.1020408,5.016042781
285.1020408,4.770053476
285.1020408,4.577540107
285.1927438,5.20855615
285.4753609,5.330072606
285.6462585,5.122994652
285.6462585,4.877005348
285.7369615,4.695187166
285.7369615,4.502673797
285.782866,4.257401852
285.9366185,3.900247815
285.9366185,3.713512456
285.9366185,3.55941046
285.9366185,3.369049172
286.0903711,2.906743185
286.0903711,2.797965306
286.0903711,2.694626321
286.2441237,2.598539194
286.2953745,2.435372375
286.4747525,2.290335203
286.5131906,2.15662906
286.7361319,2.025642363
287.0128865,1.915051519
287.166639,1.812165775
287.704773,1.773640277
288.1660306,1.678459632
288.9347934,1.569681753
289.5827506,1.461551361
290.6260716,1.409032941
291.1791383,1.604278075
291.3605442,1.839572193
291.5419501,2.042780749
291.723356,2.299465241
291.814059,2.524064171
291.9954649,2.203208556
292.03547,2.32055128
292.0867209,2.09349904
293.0092362,2.070513239
293.8658576,1.926447297
294.8350478,1.864288509
295.6614678,1.831050824
295.7255314,1.743424199
296.4088761,1.668891208
297.1913058,1.547019695
297.9293181,1.467450691
298.8518334,1.384985979
299.6974725,1.315866701
300.6199878,1.297737055
301.5425032,1.305291074
302.4650185,1.344571975
303.695039,1.426155385
304.6175543,1.424644581
305.5400697,1.415579757
306.4882105,1.488601945
307.3851004,1.575724968
308.3076157,1.595365419
309.1020039,1.553566512
309.8451413,1.463623321
310.6907804,1.372975088
311.5364194,1.266010173
312.4589348,1.160253902
313.1508213,1.10888657
314.2176871,1.101604278
315.2726066,1.137289683
316.1489962,1.15572149
317.0715115,1.13608104
317.9940269,1.08924612
318.6859134,1.048454415
319.8412698,1.005347594
320.9153255,0.975935829
321.8378408,0.975935829
322.7603562,0.981979044
323.6828715,0.992554672
324.6053869,1.009173514
325.5279022,1.028813965
326.4504176,1.045432807
327.3729329,1.049965219
328.2954483,1.048454415
329.2179636,1.057519238
330.140479,1.057519238
331.0629943,1.052986827
331.9855097,1.048454415
332.908025,1.036367984
333.8305403,1.01521673
334.7530557,0.994065475
335.675571,0.965360202
336.5980864,0.935144124
337.5206017,0.909460458
338.4431171,0.888309204
339.2887562,0.870783879
